Letter Unique Name,Language,Type
a,English,LowerCase
b,English,LowerCase
c,English,LowerCase
d,English,LowerCase
e,English,LowerCase
f,English,LowerCase
g,English,LowerCase
h,English,LowerCase
i,English,LowerCase
j,English,LowerCase
k,English,LowerCase
l,English,LowerCase
m,English,LowerCase
n,English,LowerCase
o,English,LowerCase
p,English,LowerCase
q,English,LowerCase
r,English,LowerCase
s,English,LowerCase
t,English,LowerCase
u,English,LowerCase
v,English,LowerCase
w,English,LowerCase
x,English,LowerCase
y,English,LowerCase
z,English,LowerCase
Alif,Arabic,Alone
Baa,Arabic,Alone
Taa,Arabic,Alone
Thaa,Arabic,Alone
Jiim,Arabic,Alone
Haa,Arabic,Alone
Xaa,Arabic,Alone
Daal,Arabic,Alone
Thaal,Arabic,Alone
Raa,Arabic,Alone
Zaay,Arabic,Alone
Siin,Arabic,Alone
Shiin,Arabic,Alone
Saad,Arabic,Alone
Daad,Arabic,Alone
Taa,Arabic,Alone
Thaa,Arabic,Alone
Ayn,Arabic,Alone
Ghayn,Arabic,Alone
Faa,Arabic,Alone
Gaaf,Arabic,Alone
Kaaf,Arabic,Alone
Laam,Arabic,Alone
Mim,Arabic,Alone
Nun,Arabic,Alone
Hah,Arabic,Alone
Waw,Arabic,Alone
Ya,Arabic,Alone
SmileyFace,Custom,All,3ceef6dc-a5c0-463e-b92d-37bdc13dfe73
ThumbsUp,Custom,All,7aef1d6f-e9ad-4c6a-863f-52db6ea2c30f
TEST,Custom,All,71391e7f-6193-40c4-9890-886ab7404822
Smile,Custom,All,39a71bc6-6370-4fd3-9118-644f330886e2
Edge dims,Custom,All,043986c5-8a4a-464e-9887-1fd0dac8c7eb
Tttest,Custom,All,bbb5fd39-bf9f-4933-941a-4c31c4b87b53
